Assignment Scope (MG),Assignment Name,Definition Name,Type,Custom/Builtin,Description,Effect,GitHub Assignment File,AzAdvertizer Link,Release,Status
Intermediate Root,Deploy Microsoft Defender for Cloud configuration,Deploy Microsoft Defender for Cloud configuration,Initiative,Custom,"Configures all the MDFC settings, such as Microsoft Defender for Cloud per individual service, security contacts, and export from MDFC to Log Analytics workspace",DeployIfNotExists,DINE-MDFCConfigPolicyAssignment.json,Deploy Microsoft Defender for Cloud configuration (azadvertizer.net),2023-04-02,
Intermediate Root,Deploy-MDEndpoints,[Preview]: Deploy Microsoft Defender for Endpoint agent,Initiative,Built-in,Deploy Microsoft Defender for Endpoint agent on applicable images.,DeployIfNotExists,DINE-MDEndpointsPolicyAssignment.json,[Preview]: Deploy Microsoft Defender for Endpoint agent (azadvertizer.net),2023-04-02,
Intermediate Root,Deploy-MDEndpointsAMA,Configure multiple Microsoft Defender for Endpoint integration settings with Microsoft Defender for Cloud,Initiative,Built-in,"Configure the multiple Microsoft Defender for Endpoint integration settings with Microsoft Defender for Cloud (WDATP, WDATP_EXCLUDE_LINUX_PUBLIC_PREVIEW, WDATP_UNIFIED_SOLUTION etc.). See: https://learn.microsoft.com/azure/defender-for-cloud/integration-defender-for-endpoint for more information.",DeployIfNotExists,DINE-MDEndpointsAMAPolicyAssignment.json,Configure multiple Microsoft Defender for Endpoint integration settings with Microsoft Defender for Cloud - 77b391e3-2d5d-40c3-83bf-65c846b3c6a3 (azadvertizer.net),2024-05-15,
Intermediate Root,Deploy-Diag-Logs,Enable allLogs category group resource logging for supported resources to Log Analytics,Initiative,Built-in,Resource logs should be enabled to track activities and events that take place on your resources and give you visibility and insights into any changes that occur. This initiative deploys diagnostic setting using the allLogs category group to route logs to Log Analytics Workspace for all supported resources,DeployIfNotExists,DINE-ResourceDiagnosticsPolicyAssignment.json,Enable allLogs category group resource logging for supported resources to Log Analytics - 0884adba-2312-4468-abeb-5422caed1038 (azadvertizer.net),2024-05-15,
Intermediate Root,Microsoft Cloud Security Benchmark,Azure Security Benchmark,Initiative,Built-in,"The Azure Security Benchmark initiative represents the policies and controls implementing security recommendations defined in Azure Security Benchmark v2, see https://aka.ms/azsecbm. This also serves as the Azure Security Center default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Azure Security Center.","Audit, AuditIfNotExists, Disabled",DINE-ASBPolicyAssignment.json,Azure Security Benchmark (azadvertizer.net),2023-04-02,
Intermediate Root,Microsoft Cloud Security Benchmark v2,[Preview]: Microsoft cloud security benchmark v2,Initiative,Built-in,"The Microsoft cloud security benchmark initiative represents the policies and controls implementing security recommendations defined in Microsoft cloud security benchmark, see https://aka.ms/azsecbm. This also serves as the Microsoft Defender for Cloud default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Microsoft Defender for Cloud.","Audit, AuditIfNotExists, Disabled",DINE-ASB2PolicyAssignment.json,https://www.azadvertizer.net/azpolicyinitiativesadvertizer/e3ec7e09-768c-4b64-882c-fcada3772047.html,2025-12-01,
Intermediate Root,Configure Advanced Threat Protection to be enabled on open-source relational databases,Configure Advanced Threat Protection to be enabled on open-source relational databases,Initiative,Built-in,Enable Advanced Threat Protection on your non-Basic tier open-source relational databases to detect anomalous activities indicating unusual and potentially harmful attempts to access or exploit databases. See https://aka.ms/AzDforOpenSourceDBsDocu.,DeployIfNotExists,DINE-AtpOssDbPolicyAssignment.json,Configure Advanced Threat Protection to be enabled on open-source relational databases (azadvertizer.net),2023-04-02,
Intermediate Root,Configure Azure Defender to be enabled on SQL Servers and SQL Managed Instances,Configure Azure Defender to be enabled on SQL Servers and SQL Managed Instances,Initiative,Built-in,Enable Azure Defender on your SQL Servers and SQL Managed Instances to detect anomalous activities indicating unusual and potentially harmful attempts to access or exploit databases.,DeployIfNotExists,DINE-AtpSqlDbPolicyAssignment.json,Configure Azure Defender to be enabled on SQL Servers and SQL Managed Instances (azadvertizer.net),2023-04-02,
Intermediate Root,Deploy Diagnostic Settings for Activity Log to Log Analytics workspace,Configure Azure Activity logs to stream to specified Log Analytics workspace,Policy,Built-in,Deploys the diagnostic settings for Azure Activity to stream subscriptions audit logs to a Log Analytics workspace to monitor subscription-level events,DeployIfNotExists,DINE-ActivityLogPolicyAssignment.json,Configure Azure Activity logs to stream to specified Log Analytics workspace (azadvertizer.net),2023-04-02,
Intermediate Root,Deny the deployment of classic resources,Deny the deployment of classic resources,Policy,Custom,Denies deployment of classic resource types under the assigned scope.,Deny,DENY-ClassicResourceTypesPolicyAssignment.json,Not allowed resource types (azadvertizer.net),2023-04-02,
